"","stratumid","clusterid","urban_cluster","psweight_1year","level1id","level2id","level3id","protected_at_birth_to_analyze","level3name","level2name","level1name"
"1",6,168,0,2198.05960156938,1,1,6,1,"District 06","Lower Province","Harmonia"
"2",3,69,1,1735.11716095031,1,1,3,1,"District 03","Lower Province","Harmonia"
"3",9,270,1,999.84599462299,1,1,9,1,"District 09","Lower Province","Harmonia"
"4",3,68,1,1713.5181921418,1,1,3,1,"District 03","Lower Province","Harmonia"
"5",6,155,1,2177.89391715131,1,1,6,1,"District 06","Lower Province","Harmonia"
"6",5,139,1,1944.90187885595,1,1,5,1,"District 05","Lower Province","Harmonia"
"7",4,114,1,3688.51781672553,1,1,4,1,"District 04","Lower Province","Harmonia"
"8",6,173,0,1930.0035525975,1,1,6,1,"District 06","Lower Province","Harmonia"
"9",5,123,0,1848.06029152702,1,1,5,1,"District 05","Lower Province","Harmonia"
"10",5,136,1,2006.22761377483,1,1,5,1,"District 05","Lower Province","Harmonia"
"11",3,73,1,1835.3683746941,1,1,3,1,"District 03","Lower Province","Harmonia"
"12",4,100,1,3133.74074673023,1,1,4,1,"District 04","Lower Province","Harmonia"
"13",3,65,1,1903.03172491324,1,1,3,1,"District 03","Lower Province","Harmonia"
"14",9,263,1,831.839085690438,1,1,9,1,"District 09","Lower Province","Harmonia"
"15",4,98,0,3456.95167576518,1,1,4,0,"District 04","Lower Province","Harmonia"
"16",6,166,0,2316.004263117,1,1,6,1,"District 06","Lower Province","Harmonia"
"17",3,67,0,1742.43833040579,1,1,3,0,"District 03","Lower Province","Harmonia"
"18",3,67,0,1742.43833040579,1,1,3,1,"District 03","Lower Province","Harmonia"
"19",9,248,0,922.585167765759,1,1,9,1,"District 09","Lower Province","Harmonia"
"20",6,159,0,1953.83075695056,1,1,6,1,"District 06","Lower Province","Harmonia"
"21",9,247,1,898.091756232155,1,1,9,1,"District 09","Lower Province","Harmonia"
"22",9,241,0,835.262291804391,1,1,9,1,"District 09","Lower Province","Harmonia"
"23",4,119,0,3083.60089478254,1,1,4,1,"District 04","Lower Province","Harmonia"
"24",6,172,0,2338.8220391083,1,1,6,1,"District 06","Lower Province","Harmonia"
"25",4,108,1,3706.25107545979,1,1,4,1,"District 04","Lower Province","Harmonia"
"26",6,155,1,2177.89391715131,1,1,6,1,"District 06","Lower Province","Harmonia"
"27",3,61,1,1811.21879081655,1,1,3,1,"District 03","Lower Province","Harmonia"
"28",3,84,1,1811.21879081655,1,1,3,1,"District 03","Lower Province","Harmonia"
"29",3,65,1,1903.03172491324,1,1,3,0,"District 03","Lower Province","Harmonia"
"30",6,180,1,1945.8232538483,1,1,6,1,"District 06","Lower Province","Harmonia"
"31",3,69,1,1735.11716095031,1,1,3,0,"District 03","Lower Province","Harmonia"
"32",6,154,1,1970.04512007878,1,1,6,1,"District 06","Lower Province","Harmonia"
"33",5,147,1,2131.01689118666,1,1,5,1,"District 05","Lower Province","Harmonia"
"34",3,64,0,2034.27529214864,1,1,3,1,"District 03","Lower Province","Harmonia"
"35",3,64,0,2034.27529214864,1,1,3,0,"District 03","Lower Province","Harmonia"
"36",3,64,0,2034.27529214864,1,1,3,1,"District 03","Lower Province","Harmonia"
"37",3,83,1,1994.9656246675,1,1,3,1,"District 03","Lower Province","Harmonia"
"38",3,63,0,1929.70973974847,1,1,3,1,"District 03","Lower Province","Harmonia"
"39",5,127,0,1895.24480960856,1,1,5,1,"District 05","Lower Province","Harmonia"
"40",3,63,0,1929.70973974847,1,1,3,1,"District 03","Lower Province","Harmonia"
"41",5,129,1,2081.2267769066,1,1,5,1,"District 05","Lower Province","Harmonia"
"42",3,62,1,2024.30335444203,1,1,3,0,"District 03","Lower Province","Harmonia"
"43",5,136,1,2006.22761377483,1,1,5,1,"District 05","Lower Province","Harmonia"
"44",3,62,1,2024.30335444203,1,1,3,1,"District 03","Lower Province","Harmonia"
"45",4,118,0,3252.7435598972,1,1,4,1,"District 04","Lower Province","Harmonia"
"46",4,111,1,3294.4454004087,1,1,4,1,"District 04","Lower Province","Harmonia"
"47",9,270,1,999.84599462299,1,1,9,1,"District 09","Lower Province","Harmonia"
"48",6,153,0,2282.60035547589,1,1,6,1,"District 06","Lower Province","Harmonia"
"49",4,93,1,3212.08426539848,1,1,4,0,"District 04","Lower Province","Harmonia"
"50",9,255,1,966.517794802224,1,1,9,1,"District 09","Lower Province","Harmonia"
"51",3,69,1,1735.11716095031,1,1,3,1,"District 03","Lower Province","Harmonia"
"52",6,170,1,2046.46928421977,1,1,6,1,"District 06","Lower Province","Harmonia"
"53",6,167,1,2239.5324242405,1,1,6,0,"District 06","Lower Province","Harmonia"
"54",3,68,1,1713.5181921418,1,1,3,0,"District 03","Lower Province","Harmonia"
"55",9,250,0,957.399702398429,1,1,9,0,"District 09","Lower Province","Harmonia"
"56",6,172,0,2338.8220391083,1,1,6,1,"District 06","Lower Province","Harmonia"
"57",9,264,0,980.52529907472,1,1,9,1,"District 09","Lower Province","Harmonia"
"58",3,80,1,2044.34596191175,1,1,3,1,"District 03","Lower Province","Harmonia"
"59",5,139,1,1944.90187885595,1,1,5,1,"District 05","Lower Province","Harmonia"
"60",9,264,0,980.52529907472,1,1,9,1,"District 09","Lower Province","Harmonia"
"61",3,78,0,1920.73434561011,1,1,3,1,"District 03","Lower Province","Harmonia"
"62",6,165,0,2177.89391715131,1,1,6,1,"District 06","Lower Province","Harmonia"
"63",5,122,1,1871.35516915131,1,1,5,1,"District 05","Lower Province","Harmonia"
"64",5,124,0,1810.49809047972,1,1,5,0,"District 05","Lower Province","Harmonia"
"65",9,263,1,831.839085690438,1,1,9,0,"District 09","Lower Province","Harmonia"
"66",6,157,0,2020.34414442122,1,1,6,1,"District 06","Lower Province","Harmonia"
"67",3,85,1,1658.46539881997,1,1,3,1,"District 03","Lower Province","Harmonia"
"68",5,127,0,1895.24480960856,1,1,5,1,"District 05","Lower Province","Harmonia"
"69",9,242,1,894.135404883114,1,1,9,0,"District 09","Lower Province","Harmonia"
"70",5,145,0,1895.24480960856,1,1,5,0,"District 05","Lower Province","Harmonia"
"71",9,268,1,894.135404883114,1,1,9,0,"District 09","Lower Province","Harmonia"
"72",5,124,0,1810.49809047972,1,1,5,1,"District 05","Lower Province","Harmonia"
"73",3,78,0,1920.73434561011,1,1,3,0,"District 03","Lower Province","Harmonia"
"74",6,165,0,2177.89391715131,1,1,6,1,"District 06","Lower Province","Harmonia"
"75",3,83,1,1994.9656246675,1,1,3,1,"District 03","Lower Province","Harmonia"
"76",3,80,1,2044.34596191175,1,1,3,1,"District 03","Lower Province","Harmonia"
"77",5,148,1,2090.99779463855,1,1,5,1,"District 05","Lower Province","Harmonia"
